customer_id,name,age,gender,city,state,country
1,Jamie Gonzalez,47,F,Port Cynthiaton,Massachusetts,Guadeloupe
2,Crystal Bradley,53,M,Port Alexton,Minnesota,Sweden
3,Jared West,74,M,West Jill,Idaho,Hungary
4,Amanda Martinez,25,M,South Angelaton,California,Azerbaijan
5,Joe Smith,21,F,West Rachelborough,California,Norway
6,Matthew Hunt,53,M,Port Beth,New Jersey,Antarctica (the territory South of 60 deg S)
7,Julia Washington,27,F,North Kellyland,Delaware,Jamaica
8,Mary Fisher,66,F,Lake Devin,Oregon,Bahamas
9,Marvin Hart,41,M,Lake Christopherhaven,New York,Mali
10,Sarah Jones,38,F,Byrdborough,Maine,Ethiopia
11,Jeffrey Foster Jr.,73,F,New Amandafort,Kentucky,Micronesia
12,John Blackburn,47,F,Merrittstad,Arkansas,Guernsey
13,Vincent Maldonado,72,M,Garciafort,New York,Iceland
14,Shannon Lara,57,F,Danielberg,Tennessee,Argentina
15,Dr. Lee Carter,42,F,Walshmouth,Mississippi,Singapore
16,Teresa Craig,70,F,Ronaldland,Kansas,Montenegro
17,Vernon Taylor,43,M,East Jeremybury,West Virginia,Lao People's Democratic Republic
18,Michael Baker,44,F,Lake Alexandermouth,Idaho,Tonga
19,Andrew Horton,54,M,East Tiffany,Minnesota,Chad
20,Tiffany Mueller,29,M,East Thomasfort,California,Ethiopia
21,Amy Montgomery,25,F,Dickersonberg,West Virginia,Turkey
22,Jason Schmidt,46,F,Port Crystalburgh,Ohio,Ecuador
23,Crystal Smith,56,M,Lake Cynthiafurt,Minnesota,Brunei Darussalam
24,Mrs. Alexis Miller,65,F,Williamsport,Wyoming,Saint Kitts and Nevis
25,Shelby Vasquez,21,F,Clarkchester,Missouri,Bulgaria
26,Hannah Conley,75,M,Port Jimmy,New Mexico,Suriname
27,Paul Nash,69,M,New Jacksonberg,Nebraska,United States of America
28,Stephanie Bishop,62,M,Jenniferfort,Rhode Island,Guyana
29,Jacqueline Flores,51,M,West Ericborough,Kansas,Netherlands Antilles
30,Cassandra Martin,38,M,New Cynthiaburgh,Rhode Island,Spain
31,Grace Walls,60,M,Richardsonbury,Alabama,Palestinian Territory
32,Robert Gibson Jr.,58,F,West Maryland,South Carolina,Mozambique
33,Michael Carlson,49,M,South Christopherfurt,Florida,Dominica
34,Kelly Davis,29,M,West Kimberly,Arkansas,France
35,Christine Ramirez,26,F,South David,Arkansas,Kenya
36,Dr. Deborah Cannon,24,F,Loriview,Utah,Comoros
37,Miss Heather James,65,M,North Williamview,Ohio,Lao People's Democratic Republic
38,Rachel Ryan,31,M,East Lydiabury,Virginia,Belarus
39,Stanley Johnson,61,F,Fieldsport,Alabama,Algeria
40,Lisa Perez,42,M,Thorntonhaven,Idaho,Puerto Rico
41,Olivia Robles,31,F,North Johnny,Tennessee,Saudi Arabia
42,Michael Ellison,55,F,Port Manuel,Nebraska,French Southern Territories
43,Jennifer Smith,67,F,East Joan,Wisconsin,Haiti
44,Nicholas Turner,63,M,West Tylerberg,New Jersey,Cambodia
45,Jose Moore,74,F,Michaelmouth,Massachusetts,Eritrea
46,Brittany Hall PhD,66,F,Pattersonberg,Nevada,Wallis and Futuna
47,Erica Cochran,29,F,Port Jacquelineport,Alaska,Belgium
48,Ronald Williams,68,F,East Becky,Rhode Island,Tajikistan
49,Alyssa Sandoval,23,M,New Thomasmouth,Hawaii,Jersey
50,Charles Cole,48,M,South Donaldtown,Indiana,Afghanistan
51,John Willis,18,M,West Cody,North Carolina,Barbados
52,Antonio Fox,23,F,Lefort,Minnesota,Central African Republic
53,Elizabeth White,73,F,New Tracymouth,North Dakota,Timor-Leste
54,Cassandra Robinson,29,F,Mooreville,Missouri,British Virgin Islands
55,Cristian Wang,49,M,North Deborah,New York,Tuvalu
56,Brittany Hughes,62,F,Kaylaborough,Kentucky,Cyprus
57,Cody Clark,33,M,Ferrellstad,Delaware,Guyana
58,Sarah Mosley,66,F,Margaretfurt,Kansas,Serbia
59,Jordan King,47,M,Lesterview,Louisiana,Congo
60,Richard Myers,45,F,Patriciaton,South Dakota,Libyan Arab Jamahiriya
61,Casey Lawson,20,M,Dennisland,Connecticut,Denmark
62,Sean Elliott,51,F,Stevenside,West Virginia,San Marino
63,Brian Ramirez,63,M,Deborahland,Iowa,Burkina Faso
64,Julie Benton,50,F,Sanchezfort,Arkansas,Isle of Man
65,Claudia Day,59,F,North Laura,Illinois,Uruguay
66,Ashley Young,31,M,Jasonmouth,Indiana,Norway
67,Joanna Buchanan,18,M,Nicoleshire,Iowa,China
68,Johnathan Pacheco,36,F,New Benjamin,Delaware,Malta
69,Mrs. Erin Martin,63,F,Port Joshuaton,New Mexico,Slovenia
70,Curtis Bartlett,68,F,New Bethmouth,Indiana,Costa Rica
71,Rodney Robinson,71,F,South Jennifer,Hawaii,Trinidad and Tobago
72,Nicholas Figueroa,32,M,Ginastad,Mississippi,China
73,Deborah Greene,79,F,Bowersshire,New Hampshire,Kiribati
74,Lauren Williams,66,M,Jonathanborough,Rhode Island,India
75,Pamela Bryant,25,F,Birdhaven,Alaska,Romania
76,Edward Sparks IV,40,F,Baldwinhaven,Minnesota,France
77,Lynn Johnson,74,F,Lake Roger,Vermont,Canada
78,Andrew Oneal,77,M,Reginaport,Nebraska,Brunei Darussalam
79,Christopher West,55,M,Michaelport,Washington,Cyprus
80,Lisa Rogers,30,M,Howardbury,Hawaii,Singapore
81,Kelsey Sullivan,72,M,Port Katherineland,Massachusetts,Guinea
82,Eileen Clark,50,M,Thomasborough,New Mexico,Bangladesh
83,Jason Reynolds,44,F,North Jeffery,Indiana,Botswana
84,Peter Keller,24,M,Rebeccatown,Pennsylvania,Estonia
85,Jenny Torres,55,F,Hickschester,Maine,Cote d'Ivoire
86,Monique Ray,38,F,Jenkinsport,Hawaii,Greece
87,Jacob Carrillo,64,F,Port William,Arizona,Zambia
88,Edward Johnson,69,F,North Dennischester,Wisconsin,Bhutan
89,Randy Ruiz,66,F,West Kathrynbury,Ohio,Zimbabwe
